appid,name,price,currency,genres,release_date,steam_review_score
250870,Pro Evolution Soccer 2014,,,Sports,"12 Nov, 2013",74
251060,Wargame: Red Dragon,149.49,BRL,"Indie, Simulation, Strategy","17 Apr, 2014",78
251130,Chroma Squad,46.99,BRL,"Indie, RPG, Strategy","30 Apr, 2015",75
251150,The Legend of Heroes: Trails in the Sky,21.99,CAD,RPG,"29 Jul, 2014",85
251230,Livelock,20.69,BRL,"Action, Adventure, Indie","30 Aug, 2016",73
251270,Corpse Party,27.99,BRL,"Adventure, Indie, RPG","25 Apr, 2016",71
251290,The Legend of Heroes: Trails in the Sky SC,34.99,CAD,RPG,"29 Oct, 2015",80
251430,The Inner World,46.99,BRL,"Adventure, Indie","27 Sep, 2013",72
251470,TowerFall Ascension,46.99,BRL,"Action, Indie","11 Mar, 2014",87
251490,Gravity Ghost,32.99,BRL,Indie,"26 Jan, 2015",75
251510,Constant C,19.99,BRL,"Action, Casual, Indie","11 Mar, 2014",60
251630,The Impossible Game,6.49,BRL,Indie,"8 May, 2014",64
251690,Speedball 2 HD,32.99,BRL,"Action, Indie, Sports","5 Dec, 2013",53
251830,Stick it to The Man!,16.59,BRL,"Action, Adventure, Indie","13 Dec, 2013",83
251850,Master Reboot,28.99,BRL,"Action, Adventure, Indie","29 Oct, 2013",59
251950,WWII Online,,,"Action, Casual, Indie, Massively Multiplayer, RPG, Simulation, Strategy, Free To Play","6 Jul, 2023",73
251990,Long Live The Queen,25.99,BRL,"Indie, RPG, Simulation, Strategy","8 Nov, 2013",67
252030,Valdis Story: Abyssal City,27.99,BRL,"Action, Indie, RPG","30 Oct, 2013",83
252110,Lovers in a Dangerous Spacetime,27.99,BRL,"Action, Indie, Simulation","9 Sep, 2015",80
252130,Divide By Sheep,16.99,BRL,"Adventure, Casual, Indie","2 Jul, 2015",83
252310,Syder Arcade,19.99,BRL,"Action, Indie","24 Oct, 2013",76
252330,Slender: The Arrival,59.99,BRL,"Action, Adventure, Indie","28 Oct, 2013",65
252410,SteamWorld Dig,20.69,BRL,"Action, Adventure, Indie","5 Dec, 2013",76
